SUBJECT_CUI,PREDICATE,OBJECT_CUI
C0037107,DISRUPTS,C0018270
C0000843,DISRUPTS,C0242735
C0684164,DISRUPTS,C1160189
C0000843,INTERACTS_WITH,C0017337
C0000843,STIMULATES,C1138226
C0000843,STIMULATES,C0039602
C0000866,USES,C0021102
C0000880,COEXISTS_WITH,C0920138
C0000934,ASSOCIATED_WITH,C0012634
C0015914,COEXISTS_WITH,C0018270
C0000934,COEXISTS_WITH,C0032961
C0771813,TREATS,C0002962
C0000946,TREATS,C0020538
C0771813,TREATS,C0027051
C0357217,TREATS,C0030705
C4682404,TREATS,C0042510
C0000946,TREATS,C0042514
C3817397,TREATS,C0151636
C0000948,TREATS,C0020626
C0000956,TREATS,C1516213
C0772241,TREATS,C0034065
C0084183,TREATS,C0042487
C0000959,TREATS,C0035950
C0000966,INTERACTS_WITH,C0001962
C4726929,INTERACTS_WITH,C0033684
C0000970,AUGMENTS,C1280541
C0000970,COEXISTS_WITH,C0040374
C0000970,COEXISTS_WITH,C0061297
C0000970,INHIBITS,C0017817
C0086728,PREVENTS,C0030193
C0032177,TREATS,C0001675
C0000970,TREATS,C0152081
C0000970,TREATS,C0392674
C0000970,TREATS,C0682053
C1619629,TREATS,C0009443
C0251504,TREATS,C0013274
C0000970,TREATS,C0015967
C0000970,TREATS,C0026093
C0000970,TREATS,C0001792
C0000970,TREATS,C0021289
C0000970,TREATS,C0021294
C0000970,TREATS,C0007450
C0000970,TREATS,C0029408
C0000970,TREATS,C0030193
C0000970,TREATS,C0030201
C0059709,TREATS,C0030705
C0003138,TREATS,C0033893
C1511682,TREATS,C0034693
C0000970,TREATS,C0037195
C0065642,TREATS,C0040460
C0000970,TREATS,C0149931
C0000970,TREATS,C0184567
C0000970,TREATS,C0037011
C0000970,TREATS,C0392171
C0000970,TREATS,C0393735
C0000970,TREATS,C1457887
C0000970,TREATS,C0011615
C0000973,TREATS,C0018681
C0244994,TREATS,C0039070
C0022237,AUGMENTS,C0007634
C0000975,COEXISTS_WITH,C0043047
C0000975,DISRUPTS,C0018270
C1527223,INTERACTS_WITH,C0015684
C4044947,INTERACTS_WITH,C0025617
C0000975,STIMULATES,C0033634
C0000975,TREATS,C0014834
C0145334,TREATS,C0026809
C0000975,TREATS,C0030705
C0000975,TREATS,C0034693
C0000975,TREATS,C0042133
C0000975,TREATS,C0043210
C0000975,TREATS,C0001430
C0000975,TREATS,C0936223
C0029983,INHIBITS,C0007028
C0206461,PREVENTS,C0238284
C0000981,TREATS,C0154853
C0000981,TREATS,C0013604
C0008183,TREATS,C0014553
C0282151,TREATS,C0017601
C0000981,TREATS,C0017605
C0000981,TREATS,C0017612
C0000981,TREATS,C0337680
C0075504,TREATS,C0033845
C0000981,TREATS,C0034700
C0000981,TREATS,C0036572
C0000981,TREATS,C0024198
C5201088,TREATS,C0149893
C0000981,TREATS,C0271152
C0000983,AUGMENTS,C0162337
C0000983,AUGMENTS,C0234194
C0000983,COEXISTS_WITH,C0001963
C0000983,COEXISTS_WITH,C0043047
C0000983,COEXISTS_WITH,C0050456
C0000983,DISRUPTS,C0018270
C0000983,TREATS,C0220756
C0017734,TREATS,C0026809
C0000983,TREATS,C0029878
C0000983,TREATS,C0030705
C0000983,TREATS,C0034693
C0000983,TREATS,C0238217
C0000992,TREATS,C0025218
C0000999,INHIBITS,C0060836
C0001002,COEXISTS_WITH,C0043047
C0001002,TREATS,C0033147
C0001002,TREATS,C5239544
C0001002,TREATS,C0034693
C0001022,INHIBITS,C0000379
C0034343,INTERACTS_WITH,C0015684
C0001022,INTERACTS_WITH,C0033640
C0002358,INTERACTS_WITH,C0015684
C0001040,TREATS,C0002395
C0001040,TREATS,C0011156
C0001040,TREATS,C0011268
C0001040,TREATS,C0030705
C0001041,ASSOCIATED_WITH,C0001175
C0001041,AUGMENTS,C0003483
C0001041,AUGMENTS,C0005847
C0001041,AUGMENTS,C0007634
C0001041,AUGMENTS,C0014257
C0142278,AUGMENTS,C0027882
C0001041,AUGMENTS,C0010096
C0282386,AUGMENTS,C0042401
C0001041,AUGMENTS,C0079043
C0001041,AUGMENTS,C0232338
C0001041,AUGMENTS,C1140999
C0001041,AUGMENTS,C1280541
C4547202,COEXISTS_WITH,C0011947
C0001041,INHIBITS,C0001044
C0001041,INHIBITS,C0052940
C0001041,INTERACTS_WITH,C0027908
C4762343,INTERACTS_WITH,C0028128
C0001041,INTERACTS_WITH,C0034826
C0001041,INTERACTS_WITH,C0021027
C0282053,INTERACTS_WITH,C0597357
C0001041,STIMULATES,C0006675
C0001041,STIMULATES,C0018338
C0001041,STIMULATES,C0028128
C0020264,STIMULATES,C0032821
C0001041,STIMULATES,C0015498
C0085170,STIMULATES,C0034830
C0171023,STIMULATES,C0669365|4846
C0001041,TREATS,C0007450
C0001041,TREATS,C0012984
C0001041,TREATS,C0233762
C0001041,TREATS,C0020114
C0008290,TREATS,C0026809
C0001041,TREATS,C0030705
C0001041,TREATS,C0034493
C0001041,TREATS,C0034693
C0001041,TREATS,C0034705
C0001041,TREATS,C0699762
C0001041,TREATS,C4042834
C0001044,ASSOCIATED_WITH,C0002395
C0001044,INHIBITS,C0728810
C0001044,INTERACTS_WITH,C0001041
C0001044,INTERACTS_WITH,C0243076
C0001046,TREATS,C0085232
C0001046,TREATS,C0030705
C2266962,TREATS,C0497327
C0475463,ASSOCIATED_WITH,C0242606
C3491971,DISRUPTS,C0004391
C0001047,DISRUPTS,C0007587
C0074825,DISRUPTS,C0031715
C0034917,DISRUPTS,C0162638
C0001047,DISRUPTS,C1442161
C0001047,INHIBITS,C0162772
C0001047,INHIBITS,C0063900
C0001047,INHIBITS,C1709820|6098
C0001047,INTERACTS_WITH,C0026457
C0001047,INTERACTS_WITH,C0017817
C0001047,INTERACTS_WITH,C0162772
C0164674,PREVENTS,C0022658
C0001047,PREVENTS,C0175677
C0001047,PREVENTS,C0235378
C0001047,PREVENTS,C1257806
C0001047,PREVENTS,C0596402
C0001047,PREVENTS,C0037929
C0001047,PRODUCES,C0162772
C5392705,STIMULATES,C0017817
C0001047,STIMULATES,C0162772
C0971174,TREATS,C0002726
C0066522,TREATS,C0006267
C0001047,TREATS,C0376175
C0001047,TREATS,C0008059
C1335877|6778,TREATS,C0010674
C0001047,TREATS,C0396072
C0001047,TREATS,C0013221
C0001047,TREATS,C0020114
C1451667|6781,TREATS,C0024117
C0001047,TREATS,C0026809
C0669938|10059,TREATS,C0030705
C0001047,TREATS,C0238298
C0001047,TREATS,C0032343
C0001047,TREATS,C0034067
C1564139,TREATS,C0034693
C0001047,TREATS,C0175677
C0001047,TREATS,C0237963
C0025649,TREATS,C0242606
C0001047,TREATS,C0392164
C0001047,TREATS,C0572025
C0001047,TREATS,C4280020
C0073994,TREATS,C0600688
C1170000,TREATS,C0852283
C0042525,INTERACTS_WITH,C0033684
C0001060,TREATS,C0007450
C0030660,COEXISTS_WITH,C0022116
C0001128,AUGMENTS,C0301641
C0001128,AUGMENTS,C1327332
C0001128,INTERACTS_WITH,C0003695
C0001128,INTERACTS_WITH,C0025380
C0001128,INTERACTS_WITH,C0014442
C0220806,INTERACTS_WITH,C0014898
C0001128,INTERACTS_WITH,C0577749
C0001128,INTERACTS_WITH,C0206599
C0023688,INTERACTS_WITH,C0022009
C0001128,INTERACTS_WITH,C0007009
C0001128,INTERACTS_WITH,C0023779
C0001128,INTERACTS_WITH,C0032521
C0001128,INTERACTS_WITH,C0376541
C0220806,INTERACTS_WITH,C0033727
C0001128,INTERACTS_WITH,C0043047
C0001128,INTERACTS_WITH,C0049244
C0001128,INTERACTS_WITH,C0220806
C0001143,TREATS,C0700061
C0001164,USES,C0178987
C0001168,COEXISTS_WITH,C0002940
C0001175,COEXISTS_WITH,C0012634
C0001175,COEXISTS_WITH,C0019682
C0152253,COEXISTS_WITH,C0019693
C0001175,COEXISTS_WITH,C0021311
C0032269,COEXISTS_WITH,C0029118
C0001175,COEXISTS_WITH,C0036220
C0001175,INTERACTS_WITH,C0019682
C0001239,INTERACTS_WITH,C0010661
C0001268,TREATS,C0014836
C0001268,TREATS,C0018081
C0001268,TREATS,C0085623
C0001268,TREATS,C0275652
C0001268,TREATS,C0275665
C0001271,AUGMENTS,C0026649
C0140080,COEXISTS_WITH,C1366832|51761
C0001271,INHIBITS,C0011519
C0001271,INTERACTS_WITH,C0815003
C0001271,INTERACTS_WITH,C0033684
C0001271,STIMULATES,C0001473
C0001271,STIMULATES,C0001473|1769
C0060623,STIMULATES,C0001477|4589|57192
C0001271,STIMULATES,C0007634
C0034809,STIMULATES,C0027096
C0001271,STIMULATES,C1148926
C0001271,STIMULATES,C1149668
C0001272,COEXISTS_WITH,C0162580
C3256010,COEXISTS_WITH,C0043047
C0001275,TREATS,C0013144
C0001275,TREATS,C0016204
C0001275,TREATS,C0029944
C0001275,TREATS,C0206193
C0001275,TREATS,C0032343
C0001275,TREATS,C0040524
C0001275,TREATS,C0041948
C0001280,PRODUCES,C0021753
C0029432,PRODUCES,C0028128
C0001280,PRODUCES,C1305957
C0001280,PRODUCES,C1448177|7124
C0001288,TREATS,C0021289
C0001288,TREATS,C0238045
C0001288,TREATS,C0027362
C0001288,TREATS,C0684312
C0001288,TREATS,C0030705
C0582191,TREATS,C0038454
C0034754,TREATS,C0043210
C0001288,TREATS,C0034372
C0039003,TREATS,C1257890
C0001303,TREATS,C0741926
C5244401,ASSOCIATED_WITH,C0021368
C3256589,PREVENTS,C0012634
C0010711,TREATS,C0008049
C0001367,TREATS,C0008059
C0010711,TREATS,C0012634
C0049065,TREATS,C0019342
C0001367,TREATS,C1557335
C0001367,TREATS,C0019348
C0001367,TREATS,C0019357
C0001367,TREATS,C0036330
C0384228,TREATS,C0019364
C0001367,TREATS,C0014179
C0030896,TREATS,C0021311
C0001367,TREATS,C0030705
C0795760,TREATS,C0042338
C0030896,TREATS,C0149678
C5139793,TREATS,C0162526
C0001367,TREATS,C0206558
C0001367,TREATS,C0276226
C0001367,TREATS,C0026838
C0001369,INTERACTS_WITH,C0021936
C0001400,COEXISTS_WITH,C0032961
C5419304,COEXISTS_WITH,C0012854
C0001407,TREATS,C0028715
C0001413,STIMULATES,C0291573
C0001418,COEXISTS_WITH,C0001430
C0001418,COEXISTS_WITH,C0004763
C0079747,COEXISTS_WITH,C0006826
C0001418,COEXISTS_WITH,C0007137
C0001418,COEXISTS_WITH,C0941025
C0001418,COEXISTS_WITH,C0242379
C0032131,PRODUCES,C0026682
C0001425,TREATS,C0008100
C0001425,TREATS,C0030705
C2825182,TREATS,C0149825
C0200070,TREATS,C0520679
C0001430,COEXISTS_WITH,C0006826
C0001430,COEXISTS_WITH,C0028945
C0796549,COEXISTS_WITH,C0027651
C0001430,COEXISTS_WITH,C0032580
C0001430,PRODUCES,C0058126|1806
C0033822,PRODUCES,C0020268
C0001430,PRODUCES,C0033371
C0001430,PRODUCES,C0033371|5617
C0001430,PRODUCES,C0037663
C0056331,ASSOCIATED_WITH,C0004096
C0001443,ASSOCIATED_WITH,C0242184
C0001443,AUGMENTS,C0042396
C2976303,AUGMENTS,C0079043
C0001443,AUGMENTS,C0232338
C0001443,DISRUPTS,C0018270
C0001443,DISRUPTS,C0023796
C0001443,DISRUPTS,C0032176
C4731850,DISRUPTS,C0243144
C0001443,DISRUPTS,C0333641
C0001443,INHIBITS,C0001471
C0282399,INHIBITS,C0001492
C0001443,INHIBITS,C1448177|7124
C0001443,INTERACTS_WITH,C0001471
C0001443,INTERACTS_WITH,C0001492
C0001443,INTERACTS_WITH,C0014442
C0001443,INTERACTS_WITH,C0021528
C0001443,INTERACTS_WITH,C0666361|8600
C0001443,STIMULATES,C0001455
C0001443,STIMULATES,C0001471
C0001443,STIMULATES,C0001492
C0001443,STIMULATES,C0597357
C0001443,STIMULATES,C1366832|51761
C0001443,TREATS,C0012984
C0001443,TREATS,C0020114
C0001443,TREATS,C0026809
C0914671,TREATS,C0030590
C0028953,TREATS,C0030705
C0001443,TREATS,C0007450
C0164662,TREATS,C0034693
C0001443,TREATS,C0039232
C0001443,TREATS,C0039236
C0001443,TREATS,C0039240
C0001443,TREATS,C0043202
C0043335,AUGMENTS,C0007634
C0001455,AUGMENTS,C1154599
C0007012,AUGMENTS,C0031715
C0001455,AUGMENTS,C1159909
C1764827,AUGMENTS,C0040649
C0001455,DISRUPTS,C0024924
C0001455,INHIBITS,C0052088
C0001455,STIMULATES,C0879551
C0001455,STIMULATES,C0010531
C0001455,STIMULATES,C0031640
C0001455,STIMULATES,C0031727
C0001455,STIMULATES,C0033640
C0001457,INTERACTS_WITH,C0010843
C0001457|100,ASSOCIATED_WITH,C0032227
C5577548,INHIBITS,C0001443
C0118522|2551|4780,INTERACTS_WITH,C0001443
C0001457|100,INTERACTS_WITH,C0035668
C0001459,AUGMENTS,C0005821
C0001459,AUGMENTS,C0022925
C0178645,AUGMENTS,C0032176
C0001464,INTERACTS_WITH,C5421032
C0001465,STIMULATES,C0001643
C0001465,STIMULATES,C0033640
C0001465,TREATS,C0028715
C0012133,TREATS,C0039232
C0001465,TREATS,C1960639
C0001465,TREATS,C0043202
C0001465,TREATS,C0392164
C0001471,INTERACTS_WITH,C0001443
C0001473,INTERACTS_WITH,C1366832|51761
C0001479,INTERACTS_WITH,C0029904
C0001480,INTERACTS_WITH,C0032821
C0001480,INTERACTS_WITH,C5401615
C0001480,INTERACTS_WITH,C0596902
C0001480,STIMULATES,C0035701
C0001480,STIMULATES,C0019475|3099
C0079469,STIMULATES,C0034836
C0001480,TREATS,C0030705
C0281351,TREATS,C0034693
C0001480,TREATS,C0019243
C0045093,TREATS,C0039236
C0001480,TREATS,C0043202
C0001492,INTERACTS_WITH,C0001455
C0001492,INTERACTS_WITH,C0225369
C0001492,PRODUCES,C0001455
C0001492,STIMULATES,C0001455
C0001511,COEXISTS_WITH,C0041582
C0749098,COEXISTS_WITH,C0150312
C0001511,DISRUPTS,C0038856
C0001527,PRODUCES,C0019932
C0001527,PRODUCES,C0010646
C0001527,PRODUCES,C0079189
C0001527,PRODUCES,C0299583
C0014257,PRODUCES,C0299583|3952
C0001527,PRODUCES,C0389071
C0001527,PRODUCES,C0040676
C0001551,ASSOCIATED_WITH,C0028778
C0001551,AUGMENTS,C0003272
C0001551,AUGMENTS,C4279953
C0001551,AUGMENTS,C0038845
C0001551,AUGMENTS,C0007818
C0718003,COEXISTS_WITH,C0042210
C0001551,INTERACTS_WITH,C0042210
C0001551,STIMULATES,C0003241
C0001551,STIMULATES,C0042210
C0001551,TREATS,C0006142
C0001551,TREATS,C0006826
C0001551,TREATS,C0007102
C0001551,TREATS,C0750952
C0001551,TREATS,C0007113
C0001551,TREATS,C0007131
C0062527,TREATS,C0007134
C0001551,TREATS,C0008059
C0001551,TREATS,C0009402
C0001551,TREATS,C0009566
C0718003,TREATS,C0012634
C0001551,TREATS,C0017636
C0001551,TREATS,C0017638
C0001551,TREATS,C0019204
C0001551,TREATS,C0020114
C0034131,TREATS,C0021390
C0170300,TREATS,C0024623
C0001551,TREATS,C0025202
C0001551,TREATS,C0026809
C0001551,TREATS,C0027627
C0001551,TREATS,C0027651
C0001551,TREATS,C0858970
C0001551,TREATS,C0030193
C0004359,TREATS,C0030705
C0001551,TREATS,C0034693
C0001551,TREATS,C0014038
C0001551,TREATS,C3826770
C0001551,TREATS,C0235974
C0003372,TREATS,C0238198
C0103647,TREATS,C0242379
C0001551,TREATS,C0349530
C0001551,TREATS,C4684942
C3653320,TREATS,C0600688
C0019654,TREATS,C0877373
C0042210,TREATS,C1457887
C0001551,TREATS,C1512441
C0001551,TREATS,C1516213
C0004886,TREATS,C1527249
C0001551,TREATS,C5203670
C0001551,USES,C5207636
C0001560,TREATS,C0026809
C0007876,TREATS,C0034693
C0001560,USES,C0021641
C0001560,USES,C0030095
C0001561,USES,C0033308
C0683465,STIMULATES,C0301872
C0001563,TREATS,C5827915
C0184967,TREATS,C0008059
C0397344,TREATS,C0009319
C0001563,TREATS,C0009932
C0001563,TREATS,C0040961
C0001563,TREATS,C0012984
C0001563,TREATS,C0020114
C0001563,TREATS,C0025932
C0001563,TREATS,C0026809
C0001563,TREATS,C0030705
C0001563,TREATS,C0034713
C0001563,TREATS,C0018019
C0001563,TREATS,C0034705
C0001563,TREATS,C0034715
C0195495,TREATS,C0034716
C0525024,TREATS,C0042960
C0001563,TREATS,C0043210
C0001563,TREATS,C1457887
C0001563,TREATS,C2986594
C0001563,USES,C0443476
C0001563,USES,C0001962
C0001563,USES,C0003232
C0001563,USES,C0059752
C4526530,USES,C0013227
C0040576,USES,C0017725
C0001563,USES,C0021641
C0162661,USES,C0025219
C0679875,USES,C0026336
C0001563,USES,C0032950
C0001563,USES,C0073601
C0001566,TREATS,C0026809
C0001566,TREATS,C0030705
C0001566,TREATS,C0033860
C4042794,USES,C0001617
C0085101,USES,C0003232
C0001566,USES,C0064673
C0001613,PRODUCES,C1533070
C0001613,PRODUCES,C0020268
C0373704,ASSOCIATED_WITH,C0003873
C0032015,ASSOCIATED_WITH,C0004096
C0001617,ASSOCIATED_WITH,C0276651
C0443483,ASSOCIATED_WITH,C0012634
C0025876,ASSOCIATED_WITH,C0024117
C0001617,ASSOCIATED_WITH,C0032285
C0001617,ASSOCIATED_WITH,C1274469
C0001617,ASSOCIATED_WITH,C0036690
C0001617,ASSOCIATED_WITH,C0600518
C0001617,ASSOCIATED_WITH,C0151526
C0001617,ASSOCIATED_WITH,C0879626
C0001617,ASSOCIATED_WITH,C1457887
C0001617,ASSOCIATED_WITH,C5203670
C0001617,AUGMENTS,C0004153
C0001617,COEXISTS_WITH,C0054235
C0001617,COEXISTS_WITH,C0037098
C0001617,COEXISTS_WITH,C0243192
C0001617,DISRUPTS,C0085616
C0001617,PREVENTS,C1299432
C0001617,PREVENTS,C0009566
C0002844,PREVENTS,C0021368
C0001617,PREVENTS,C4551761
C0001617,PREVENTS,C0302809
C0001617,PREVENTS,C0879626
C0001617,PREVENTS,C1457887
C0597049,TREATS,C0001675
C0001617,TREATS,C0002103
C0019932,TREATS,C0003873
C0001617,TREATS,C0004096
C0597049,TREATS,C0004364
C0001617,TREATS,C0006287
C0001617,TREATS,C0085074
C0001617,TREATS,C0008059
C0001617,TREATS,C0008100
C0001617,TREATS,C0009324
C0001617,TREATS,C0009566
C0066928,TREATS,C0010340
C0001617,TREATS,C0010346
C0001617,TREATS,C0010674
C0019932,TREATS,C0011615
C0001617,TREATS,C0264714
C0001617,TREATS,C0012984
C0001617,TREATS,C0013604
C0001617,TREATS,C0017661
C0071011,TREATS,C0018133
C0001617,TREATS,C0018916
C0001617,TREATS,C0019187
C0001617,TREATS,C0019944
C0022439,TREATS,C0020517
C0001617,TREATS,C0021270
C0001617,TREATS,C0028829
C0001617,TREATS,C0021294
C0001617,TREATS,C0473527
C0001617,TREATS,C0021368
C0001617,TREATS,C0021390
C0001617,TREATS,C0264184
C0001617,TREATS,C0024141
C0000167,TREATS,C0026769
C0005496,TREATS,C0026809
C0001617,TREATS,C0026896
C0001617,TREATS,C0027361
C0032015,TREATS,C0027430
C0001617,TREATS,C0027726
C0001617,TREATS,C0029134
C0301818,TREATS,C0029408
C0001617,TREATS,C0030193
C0001617,TREATS,C0030305
C0001617,TREATS,C4304779
C0001617,TREATS,C0338395
C0001617,TREATS,C0030809
C0001617,TREATS,C0038395
C0001617,TREATS,C0343065
C0001617,TREATS,C0034493
C0373704,TREATS,C0034693
C0032015,TREATS,C0035222
C0001617,TREATS,C0035435
C0001617,TREATS,C0036202
C0017710,TREATS,C0036205
C0001617,TREATS,C0036690
C0001617,TREATS,C0036983
C0001617,TREATS,C0037274
C0001617,TREATS,C0039082
C0001617,TREATS,C0039483
C0001617,TREATS,C0039516
C0066928,TREATS,C0041296
C0001617,TREATS,C0042164
C0687670|268,TREATS,C0042384
C0001617,TREATS,C0043144
C0025876,TREATS,C0043210
C0001617,TREATS,C0085437
C0001617,TREATS,C0149516
C0000167,TREATS,C0149756
C0001617,TREATS,C0004239
C0001617,TREATS,C0205653
C0010124,TREATS,C0206062
C0002006,TREATS,C0221198
C0001617,TREATS,C0241910
C0001617,TREATS,C0559546
C0001617,TREATS,C0311392
C0001617,TREATS,C0339143
C0001617,TREATS,C0376175
C0001617,TREATS,C0335141
C0729349,TREATS,C0409959
C0001617,TREATS,C0001925
C0001617,TREATS,C0581126
C0001617,TREATS,C0582415
C0001617,TREATS,C0599755
C0025876,TREATS,C0694549
C0033306,TREATS,C0730285
C0001617,TREATS,C0746102
C0001617,TREATS,C0870668
C0001617,TREATS,C0041667
C0001617,TREATS,C0879626
C0001617,TREATS,C1257890
C0001617,TREATS,C1290884
C0001617,TREATS,C0040485
C0001617,TREATS,C4086268
C0001617,TREATS,C5203670
C0001625,PRODUCES,C0002006
C0001625,PRODUCES,C0002844
C0001625,PRODUCES,C0010124
C0001625,PRODUCES,C0011185
C1280541,PRODUCES,C0017710
C0001625,PRODUCES,C0038317
C0001632,TREATS,C0001624
C0001632,TREATS,C0010481
C0001632,TREATS,C0012984
C0001632,TREATS,C0008513
C0001632,TREATS,C0324306
C0018247,TREATS,C0027627
C0001632,TREATS,C0870869
C0001632,TREATS,C0854776
C0001632,TREATS,C0034693
C0001632,TREATS,C0220603
C0877136,TREATS,C0854178
C0001632,TREATS,C0085631
C0001636,TREATS,C0401160
C0001636,TREATS,C0002792
C0001636,TREATS,C0006266
C0001636,TREATS,C0206247
C0001636,TREATS,C0018790
C0001636,TREATS,C0014457
C0001636,TREATS,C0020649
C0063079,TREATS,C0036983
C0771294,TREATS,C0042510
C0001636,TREATS,C0023890
C0001636,TREATS,C0038661
C0001640,TREATS,C0019944
C0001641,TREATS,C0005001
C0001641,TREATS,C0005683
C0001641,TREATS,C0025266
C0001641,TREATS,C0259931
C0001641,TREATS,C0574785
C0116190,TREATS,C1457887
C0906166,TREATS,C0004096
C0001644,TREATS,C0030705
C0001644,TREATS,C0012984
C0012471,COEXISTS_WITH,C0013227
C0001645,DISRUPTS,C0005823
C0001645,INHIBITS,C1540289|4345
C0001645,INHIBITS,C0003015
C0001645,INHIBITS,C0006685
C4519292,INHIBITS,C0034787
C0001645,INTERACTS_WITH,C0013227
C0010739,PREVENTS,C0004238
C0001645,PREVENTS,C0011071
C0001645,TREATS,C0001792
C0981984,TREATS,C0002962
C0001645,TREATS,C0750197
C2266931,TREATS,C0004096
C0001645,TREATS,C0015655
C0001645,TREATS,C0004245
C0008736,TREATS,C0007222
C0001645,TREATS,C0682053
C0001645,TREATS,C0010054
C0001645,TREATS,C0010068
C0001645,TREATS,C0011847
C0001645,TREATS,C0012984
C0001645,TREATS,C1155266
C0001645,TREATS,C0017601
C0001645,TREATS,C0039685
C0028347,TREATS,C0018802
C1165377,TREATS,C0020538
C3713906,TREATS,C0020541
C0001645,TREATS,C0023976
C0001645,TREATS,C0024117
C0040372,TREATS,C0025266
C2353893,TREATS,C0027051
C0001645,TREATS,C3826770
C0001645,TREATS,C0030705
C0001645,TREATS,C0034693
C0001645,TREATS,C0043210
C0061267,TREATS,C0085580
C0001645,TREATS,C0151744
C0001645,TREATS,C0155626
C0001645,TREATS,C0854776
C0001645,TREATS,C0278092
C0001645,TREATS,C0264716
C0001645,TREATS,C0232201
C0058978,TREATS,C0599755
C0001645,TREATS,C0857121
C0001645,TREATS,C0948089
C0001645,TREATS,C1257890
C0073631,TREATS,C1457887
C2726663,TREATS,C0004096
C0001648,TREATS,C0030705
C0001655,AUGMENTS,C0010481
C0001655,STIMULATES,C0002006
C0001655,STIMULATES,C0007634
C0001655,STIMULATES,C0010124
C0001655,STIMULATES,C0086303
C0012524,STIMULATES,C0038317
C0001655,STIMULATES,C0597513
C0035094,TREATS,C0008059
C0001655,TREATS,C0014863
C0001655,TREATS,C0012984
C0001655,TREATS,C0014742
C0001655,TREATS,C0019944
C0288672,TREATS,C0026769
C5853822,TREATS,C0026809
C0001655,TREATS,C0027726
C0001655,TREATS,C0029134
C0001655,TREATS,C0748064
C0001655,TREATS,C0018557
C0107103,TREATS,C0035435
