SUBJECT_CUI,PREDICATE,OBJECT_CUI
C0000946,TREATS,C0042510
C0000946,TREATS,C0042514
C0000946,TREATS,C0042847
C0000948,TREATS,C0017612
C0000956,TREATS,C0030705
C0000956,TREATS,C0034065
C0000956,TREATS,C0042487
C0000959,TREATS,C0012984
C0000966,INTERACTS_WITH,C0001962
C0000966,INTERACTS_WITH,C0033684
C0003641,AUGMENTS,C0023884
C0003280,COEXISTS_WITH,C0013227
C0000970,COEXISTS_WITH,C0043047
C0000970,INHIBITS,C0017817
C0000970,PREVENTS,C0030193
C0130137,TREATS,C0001675
C0073631,TREATS,C0003862
C0000970,TREATS,C0004604
C0000970,TREATS,C0205847
C0000970,TREATS,C0030925
C0000970,TREATS,C0013274
C0000970,TREATS,C0015967
C0000970,TREATS,C0020114
C0000970,TREATS,C4048294
C0000970,TREATS,C0001792
C0060201,TREATS,C0021294
C0000970,TREATS,C0015859
C0000970,TREATS,C0029408
C0000970,TREATS,C0278134
C0000970,TREATS,C0030201
C0000970,TREATS,C0030705
C0000970,TREATS,C0033893
C0000970,TREATS,C0085112
C0000970,TREATS,C0037195
C0000970,TREATS,C0040460
C0000970,TREATS,C0149931
C4045511,TREATS,C0184567
C0282059,TREATS,C0344307
C0061328,TREATS,C0392171
C0000970,TREATS,C0393735
C5214487,TREATS,C1457887
C0000970,TREATS,C0339573
C0000973,TREATS,C0476481
C0000973,TREATS,C0039070
C0972314,AUGMENTS,C0007634
C0000975,COEXISTS_WITH,C0043047
C0000975,DISRUPTS,C0018270
C0000975,INTERACTS_WITH,C0015684
C0000975,INTERACTS_WITH,C0025617
C0000975,STIMULATES,C0033634
C2001867,TREATS,C0014834
C0000975,TREATS,C0026809
C0000975,TREATS,C0030705
C0000975,TREATS,C0034693
C0000975,TREATS,C0042133
C0000975,TREATS,C3266856
C0038734,TREATS,C0376358
C0000975,TREATS,C0936223
C0000981,INHIBITS,C0007028
C2717539,PREVENTS,C0238284
C0000981,TREATS,C0009782
C0000981,TREATS,C0017181
C0000981,TREATS,C0014553
C0000981,TREATS,C0017601
C0000981,TREATS,C0005283
C0000981,TREATS,C0017612
C0723509,TREATS,C0030705
C0056831,TREATS,C0033845
C0000981,TREATS,C0026809
C0000981,TREATS,C0751142
C0000981,TREATS,C0085649
C0000981,TREATS,C0149893
C0000981,TREATS,C0271152
C0000983,AUGMENTS,C0162337
C0000983,AUGMENTS,C0234194
C0008197,COEXISTS_WITH,C0001963
C0000983,COEXISTS_WITH,C0043047
C0000983,COEXISTS_WITH,C0050456
C0000983,DISRUPTS,C0033274
C0000983,TREATS,C0152499
C0000983,TREATS,C0026809
C0000983,TREATS,C0021832
C0000983,TREATS,C0748064
C0000983,TREATS,C0039005
C0000983,TREATS,C0343886
C0000992,TREATS,C0011860
C0000999,INHIBITS,C0242402
C0001002,COEXISTS_WITH,C0043047
C0001002,TREATS,C0034713
C0001002,TREATS,C0700061
C0001002,TREATS,C0034693
C0001022,INHIBITS,C0019236
C0034826,INTERACTS_WITH,C0015684
C0001022,INTERACTS_WITH,C0033640
C0001026,INTERACTS_WITH,C0015684
C0001040,TREATS,C0002395
C0001040,TREATS,C1263722
C0001040,TREATS,C0026691
C0001040,TREATS,C0030705
C0001041,ASSOCIATED_WITH,C0002395
C0001041,AUGMENTS,C1278872
C0001041,AUGMENTS,C0005847
C0001041,AUGMENTS,C0007634
C0086073,AUGMENTS,C0014257
C0001041,AUGMENTS,C0027882
C0001041,AUGMENTS,C0042396
C0001041,AUGMENTS,C0042401
C0001041,AUGMENTS,C0243079
C0001041,AUGMENTS,C0950151
C0001041,AUGMENTS,C1140999
C0086268,AUGMENTS,C1280541
C0001041,COEXISTS_WITH,C0011947
C0003968,INHIBITS,C0001044
C0032032,INHIBITS,C0028128
C0001041,INTERACTS_WITH,C0023546
C4291321,INTERACTS_WITH,C0028128
C0001041,INTERACTS_WITH,C0034826
C0001041,INTERACTS_WITH,C0034830
C0001041,INTERACTS_WITH,C0597357
C0001041,STIMULATES,C0006675
C0001041,STIMULATES,C0018338
C0001041,STIMULATES,C2266960
C0001041,STIMULATES,C0041917
C3256006,STIMULATES,C0034826
C0001041,STIMULATES,C0034830
C0001041,STIMULATES,C0669365|4846
C0001041,TREATS,C0007450
C0001041,TREATS,C0012984
C4059057,TREATS,C0018681
C0001041,TREATS,C0238703
C0001041,TREATS,C0039011
C0001041,TREATS,C0030705
C0001041,TREATS,C0034493
C0001041,TREATS,C0034693
C0001041,TREATS,C0034705
C0001041,TREATS,C0085979
C0001041,TREATS,C4042834
C0002302,ASSOCIATED_WITH,C0002395
C0001044,INHIBITS,C0728810
C0001044,INTERACTS_WITH,C0001041
C0001044,INTERACTS_WITH,C0243077
C0001046,TREATS,C0002395
C0001046,TREATS,C0030705
C0001046,TREATS,C0497327
C0001047,ASSOCIATED_WITH,C0242606
C0368953,DISRUPTS,C0004391
C0001047,DISRUPTS,C0596873
C0001047,DISRUPTS,C0031715
C0312359,DISRUPTS,C0162638
C0001047,DISRUPTS,C0242606
C0001047,INHIBITS,C0162772
C0001047,INHIBITS,C1448177|7124
C0001047,INHIBITS,C1709820|6098
C1332684|6366,INTERACTS_WITH,C0003402
C0001047,INTERACTS_WITH,C0017817
C0001047,INTERACTS_WITH,C0162772
C0001047,PREVENTS,C0033377
C0001047,PREVENTS,C0175677
C0001047,PREVENTS,C0235378
C0018064,PREVENTS,C0242606
C0001047,PREVENTS,C0596402
C0014063,PREVENTS,C0600688
C0001047,PRODUCES,C0162772
C0001047,STIMULATES,C0017817
C0001047,STIMULATES,C0162772
C0699918,TREATS,C0002726
C0140145|328,TREATS,C0006267
C0001047,TREATS,C0006277
C0001047,TREATS,C0008059
C0001047,TREATS,C0010674
C0001047,TREATS,C0012634
C0001047,TREATS,C0751861
C0001047,TREATS,C0086418
C1425534|51201,TREATS,C0024117
C0020388,TREATS,C0026809
C0001047,TREATS,C0030705
C0001047,TREATS,C0032285
C0001047,TREATS,C0032343
C5557442,TREATS,C0034067
C0001047,TREATS,C0036945
C5561448,TREATS,C0175677
C0001047,TREATS,C0237963
C0001047,TREATS,C0242606
C0066083,TREATS,C0392164
C0001047,TREATS,C0572025
C4278675,TREATS,C0596402
C0001047,TREATS,C0600688
C0001047,TREATS,C0852283
C0001056,INTERACTS_WITH,C0033684
C0001060,TREATS,C0175925
C0001122,COEXISTS_WITH,C0014518
C0220806,AUGMENTS,C0301641
C0001128,AUGMENTS,C0301642
C0001128,INTERACTS_WITH,C0003695
C0001128,INTERACTS_WITH,C0013227
C0001128,INTERACTS_WITH,C4726717
C0001128,INTERACTS_WITH,C0014898
C0023688,INTERACTS_WITH,C0015684
C0220806,INTERACTS_WITH,C0017725
C0001128,INTERACTS_WITH,C5140554
C0001128,INTERACTS_WITH,C0022023
C0001128,INTERACTS_WITH,C0030415
C0001128,INTERACTS_WITH,C0032521
C0001128,INTERACTS_WITH,C0390526
C0001128,INTERACTS_WITH,C0005139
C0001128,INTERACTS_WITH,C0043047
C0023688,INTERACTS_WITH,C0049244
C0001128,INTERACTS_WITH,C0220806
C0001143,TREATS,C0030705
C0001164,USES,C0184304
C0001168,COEXISTS_WITH,C0002940
C1968804,COEXISTS_WITH,C0012634
C0001175,COEXISTS_WITH,C0019682
C0001175,COEXISTS_WITH,C0033046
C0001175,COEXISTS_WITH,C0021311
C0001175,COEXISTS_WITH,C0029118
C0001175,COEXISTS_WITH,C0036220
C0001175,INTERACTS_WITH,C0019682
C0001239,INTERACTS_WITH,C0001271
C0733440,TREATS,C0014836
C0001268,TREATS,C0018081
C0001268,TREATS,C0153195
C0001268,TREATS,C0275652
C1331034,TREATS,C0275665
C0001271,AUGMENTS,C1819464
C0164674,COEXISTS_WITH,C1366832|51761
C0001271,INHIBITS,C0054544
C0001271,INTERACTS_WITH,C1563924
C0795633,INTERACTS_WITH,C0033684
C0001271,STIMULATES,C0001473
C0001271,STIMULATES,C0299583
C0001271,STIMULATES,C0001477|4589|57192
C0001271,STIMULATES,C0007634
C0052882,STIMULATES,C0027096
C0001271,STIMULATES,C1148926
C4760864,STIMULATES,C1149668
C0001272,COEXISTS_WITH,C0007620
C0001275,COEXISTS_WITH,C0043047
C0040233,TREATS,C0011991
C0105750,TREATS,C0016204
C0001275,TREATS,C0029944
C0001275,TREATS,C0030705
C0001275,TREATS,C0032343
C4519277,TREATS,C0040524
C0001275,TREATS,C0041948
C2717940,PRODUCES,C0021753
C0001280,PRODUCES,C0028128
C0001280,PRODUCES,C0079189
C0001280,PRODUCES,C1448177|7124
C0001288,TREATS,C0028829
C0001288,TREATS,C0002395
C0700219,TREATS,C0008059
C0001288,TREATS,C0282122
C0001288,TREATS,C0748064
C0001288,TREATS,C0038454
C0001288,TREATS,C0687744
C0001288,TREATS,C1562430
C0001288,TREATS,C1257890
C0001303,TREATS,C0238607
C0085247,ASSOCIATED_WITH,C0021368
C0001367,PREVENTS,C0012634
C0001367,TREATS,C0011334
C0001367,TREATS,C0008059
C0001367,TREATS,C0012634
C0001367,TREATS,C0030759
C0001367,TREATS,C0019345
C4731850,TREATS,C0019348
C0001367,TREATS,C0577690
C1184054,TREATS,C0019360
C0001367,TREATS,C0019364
C3848584,TREATS,C0019372
C0001367,TREATS,C0021311
C0001367,TREATS,C1516213
C0001367,TREATS,C0042338
C0001367,TREATS,C0149678
C0001367,TREATS,C0162526
C0001367,TREATS,C0206558
C0001367,TREATS,C0276226
C0001367,TREATS,C1457887
C0001369,INTERACTS_WITH,C0015684
C0001400,COEXISTS_WITH,C0032961
C0001407,COEXISTS_WITH,C0012854
C0001407,TREATS,C0269285
C0001413,STIMULATES,C1825791|55323
C0001418,COEXISTS_WITH,C0001430
C0001418,COEXISTS_WITH,C0004763
C0001418,COEXISTS_WITH,C0006826
C0001418,COEXISTS_WITH,C0023443
C0001418,COEXISTS_WITH,C0027651
C0026986,COEXISTS_WITH,C0242379
C0279918,PRODUCES,C0026682
C0001425,TREATS,C0008059
C0001425,TREATS,C0030705
C0001425,TREATS,C0149825
C0001425,TREATS,C0520679
C0001430,COEXISTS_WITH,C0278554
C0001430,COEXISTS_WITH,C0007097
C0279000,COEXISTS_WITH,C0027651
C0001430,COEXISTS_WITH,C0032580
C0001430,PRODUCES,C0001655|5443
C0001430,PRODUCES,C0020268
C0001430,PRODUCES,C0064858
C0346957,PRODUCES,C0033371|5617
C0001430,PRODUCES,C0037663
C0001443,ASSOCIATED_WITH,C0004096
C0001443,ASSOCIATED_WITH,C0920563
C0001443,AUGMENTS,C0042396
C0001443,AUGMENTS,C0079043
C0092777,AUGMENTS,C0232338
C0079469,DISRUPTS,C0018270
C0001443,DISRUPTS,C0023796
C0001443,DISRUPTS,C0032176
C0017066,DISRUPTS,C0243144
C0001443,DISRUPTS,C1140999
C0001443,INHIBITS,C0001471
C0001443,INHIBITS,C0001492
C0001443,INHIBITS,C1448177|7124
C0001443,INTERACTS_WITH,C0001471
C0001443,INTERACTS_WITH,C0001492
C0001443,INTERACTS_WITH,C0014442
C1519595,INTERACTS_WITH,C0021528
C0001443,INTERACTS_WITH,C1366832|51761
C0001443,STIMULATES,C0001455
C0001443,STIMULATES,C0001471
C0001443,STIMULATES,C2935436
C3256589,STIMULATES,C0597357
C0001443,STIMULATES,C1366832|51761
C0001443,TREATS,C0012984
C0001443,TREATS,C0020114
C0001443,TREATS,C0026809
C0001443,TREATS,C0030590
C0001443,TREATS,C0741926
C0600500,TREATS,C0034493
C0016343,TREATS,C0034693
C0001443,TREATS,C0039232
C0001443,TREATS,C0039236
C0001443,TREATS,C0039240
C0001443,TREATS,C0043202
C0001455,AUGMENTS,C0007634
C0001455,AUGMENTS,C0042774
C0001455,AUGMENTS,C0813988
C0001455,AUGMENTS,C0032174
C0001455,AUGMENTS,C0040649
C0001455,DISRUPTS,C0018270
C0001455,INHIBITS,C0031640
C0001455,STIMULATES,C2587184
C0001455,STIMULATES,C0064755
C0001455,STIMULATES,C0034784
C0001455,STIMULATES,C0031727
C0001455,STIMULATES,C0033640
C0001457,INTERACTS_WITH,C0035668
C0001457|100,ASSOCIATED_WITH,C0032227
C0001457|100,INHIBITS,C0001443
C0001457|100,INTERACTS_WITH,C2976303
C0001457|100,INTERACTS_WITH,C0035668
C0001459,AUGMENTS,C0005821
C0001459,AUGMENTS,C1527409
C0001459,AUGMENTS,C0032176
C0001464,INTERACTS_WITH,C0001443
C0001465,STIMULATES,C0031727
C0001465,STIMULATES,C0033640
C0001465,TREATS,C0028715
C0001465,TREATS,C0039232
C0001465,TREATS,C0152101
C1579410,TREATS,C0043202
C4731851,TREATS,C0392164
C0001471,INTERACTS_WITH,C0001443
C0001473,INTERACTS_WITH,C1366832|51761
C0001479,INTERACTS_WITH,C0029904
C0282399,INTERACTS_WITH,C0032821
C0001480,INTERACTS_WITH,C0015498
C0001480,INTERACTS_WITH,C0596902
C0001480,STIMULATES,C1257892
C5827860,STIMULATES,C0032824
C0001480,STIMULATES,C3715044
C0001480,TREATS,C0030705
C0001480,TREATS,C0034693
C0001480,TREATS,C0039232
C0001480,TREATS,C0153254
C0001480,TREATS,C0043202
C0001492,INTERACTS_WITH,C0001455
C0001492,INTERACTS_WITH,C0039194
C0001492,PRODUCES,C0600508
C0063900,STIMULATES,C0001455
C0001511,COEXISTS_WITH,C0021368
C0001511,COEXISTS_WITH,C0150312
C0595995,DISRUPTS,C0007634
C0001527,PRODUCES,C0019932
C0001527,PRODUCES,C0033684
C0001527,PRODUCES,C0008905
C0001527,PRODUCES,C0299583
C0001527,PRODUCES,C0299583|3952
C0001527,PRODUCES,C0021735|3439
C0001527,PRODUCES,C1955907
C0001551,ASSOCIATED_WITH,C0392707
C0305065,AUGMENTS,C0003261
C0001551,AUGMENTS,C0020964
C0001551,AUGMENTS,C0301872
C0001551,AUGMENTS,C0683201
C1441290,COEXISTS_WITH,C0042210
C0001551,INTERACTS_WITH,C0770694
C0103647,STIMULATES,C0003241
C0001551,STIMULATES,C0042210
C0001551,TREATS,C0006142
C0001551,TREATS,C0549379
C0001551,TREATS,C0037769
C0001551,TREATS,C0007103
C0001551,TREATS,C0007113
C0001551,TREATS,C0007131
C0001551,TREATS,C0007134
C0001551,TREATS,C0001675
C0021403,TREATS,C0009402
C5398043,TREATS,C0009566
C0001551,TREATS,C0012634
C0001551,TREATS,C0017636
C0001551,TREATS,C0017638
C0001551,TREATS,C0262584
C0170300,TREATS,C0020114
C0001551,TREATS,C0021390
C0019654,TREATS,C0024623
C0305065,TREATS,C0025202
C0001551,TREATS,C0026809
C0001551,TREATS,C0027627
C0001551,TREATS,C0030472
C0019654,TREATS,C0029463
C0001551,TREATS,C0030193
C0001551,TREATS,C0030705
C0001551,TREATS,C0034693
C0001551,TREATS,C0036690
C0001551,TREATS,C0043210
C0001551,TREATS,C0235974
C0001551,TREATS,C0238198
C0001551,TREATS,C0242379
C0001551,TREATS,C0278480
C0001551,TREATS,C0376358
C0001551,TREATS,C0600688
C1527392,TREATS,C0877373
C0001551,TREATS,C1457887
C0001551,TREATS,C1512441
C0001551,TREATS,C0748064
C0001551,TREATS,C0018553
C0312555,TREATS,C5203670
C0001551,USES,C0039286
C0001560,TREATS,C0026809
C0001560,TREATS,C0034693
C0001560,USES,C0021641
C0001560,USES,C0030095
C0001561,USES,C0033308
C0001563,STIMULATES,C0301872
C0001563,TREATS,C0018513
C0852216,TREATS,C0008059
C0185304,TREATS,C0009319
C0001563,TREATS,C0009932
C0001563,TREATS,C0002103
C0001563,TREATS,C0206745
C1879505,TREATS,C0020114
C0001563,TREATS,C0026447
C0001563,TREATS,C0042947
C0001563,TREATS,C0030705
C0001563,TREATS,C0034493
C0001563,TREATS,C0039005
C0001563,TREATS,C0034705
C0001563,TREATS,C0034715
C0001563,TREATS,C0034716
C0452268,TREATS,C0042960
C0001563,TREATS,C0043210
C0185113,TREATS,C1457887
C0001563,TREATS,C2986594
C4526543,USES,C0001617
C1562720,USES,C0001962
C1533088,USES,C0003232
C3160898,USES,C0003280
C0001563,USES,C0599686
C0001563,USES,C0017725
C0001563,USES,C0021641
C0001563,USES,C0015046
C0001563,USES,C0026336
C0001563,USES,C0032950
C0001563,USES,C0302583
C0189598,TREATS,C0026809
C0001566,TREATS,C0870668
C0524722,TREATS,C0033860
C1293122,USES,C0001617
C0001566,USES,C0003232
C0001566,USES,C0038317
C0001613,PRODUCES,C0036884
C0001613,PRODUCES,C0020268
C0001617,ASSOCIATED_WITH,C0003873
C0001617,ASSOCIATED_WITH,C0004096
C0001617,ASSOCIATED_WITH,C0010346
C0001617,ASSOCIATED_WITH,C3875286
C0001617,ASSOCIATED_WITH,C0024117
C0001617,ASSOCIATED_WITH,C0341950
C0001617,ASSOCIATED_WITH,C0035222
C0936060,ASSOCIATED_WITH,C0036690
C1562104,ASSOCIATED_WITH,C0036983
C1136013,ASSOCIATED_WITH,C0151526
C0001617,ASSOCIATED_WITH,C0879626
C0001617,ASSOCIATED_WITH,C1457887
C0001617,ASSOCIATED_WITH,C5203670
C0061256,AUGMENTS,C0004096
C0001617,COEXISTS_WITH,C0013227
C0001617,COEXISTS_WITH,C0021081
C0001617,COEXISTS_WITH,C0243192
C0001617,DISRUPTS,C2937421
C0001617,PREVENTS,C0006287
C0001617,PREVENTS,C0009566
C0001617,PREVENTS,C0021368
C0001617,PREVENTS,C0030193
C0001617,PREVENTS,C0035220
C0025876,PREVENTS,C0879626
C0001617,PREVENTS,C1457887
C0001617,TREATS,C0001675
C0001617,TREATS,C0002103
C0025876,TREATS,C0003873
C0001617,TREATS,C0338395
C0301818,TREATS,C0004364
C0005496,TREATS,C0006287
C0001617,TREATS,C0007286
C0001617,TREATS,C0008059
C0001617,TREATS,C0008100
C0001617,TREATS,C0009324
C0001617,TREATS,C0009566
C0001617,TREATS,C0010340
C0001617,TREATS,C0004576
C0002844,TREATS,C0010674
C0040125,TREATS,C0011615
C0001617,TREATS,C0012634
C0001617,TREATS,C0006373
C0001617,TREATS,C0333279
C0017710,TREATS,C0017661
C0001617,TREATS,C0018133
C0001617,TREATS,C0023493
C0001617,TREATS,C0019187
C0597049,TREATS,C0019944
C0001617,TREATS,C0020517
C0001617,TREATS,C0021270
C0001617,TREATS,C0021289
C0001617,TREATS,C0021294
C0443483,TREATS,C0021311
C0001617,TREATS,C0013922
C0001617,TREATS,C0021390
C0001617,TREATS,C0024117
C0936060,TREATS,C0024141
C0001617,TREATS,C0855112
C0001617,TREATS,C0026809
C0729349,TREATS,C0026896
C0936060,TREATS,C0027361
C0001617,TREATS,C0027430
C0001617,TREATS,C0018995
C0001617,TREATS,C2733158
C0001617,TREATS,C0029408
C0001617,TREATS,C0030193
C0001617,TREATS,C0030305
C0001617,TREATS,C0030705
C0001617,TREATS,C0406526
C0001617,TREATS,C0023223
C0001617,TREATS,C0032285
C0001617,TREATS,C0033860
C0001617,TREATS,C0684074
C0001617,TREATS,C0034693
C0001617,TREATS,C0035222
C0301819,TREATS,C0035435
C0001617,TREATS,C0234133
C0001617,TREATS,C0036205
C0001617,TREATS,C0036690
C0001617,TREATS,C0036983
C0001617,TREATS,C0037274
C0001617,TREATS,C0039082
C0026160,TREATS,C0039483
C0066928,TREATS,C0039516
C0001617,TREATS,C0155804
C0373704,TREATS,C0042164
C0001617,TREATS,C0042384
C0001617,TREATS,C0043144
C0001617,TREATS,C0043210
C0001617,TREATS,C0085437
C0001617,TREATS,C0149516
C0010124,TREATS,C0149756
C0001617,TREATS,C0151526
C0001617,TREATS,C0205653
C0001617,TREATS,C0014130
C0001617,TREATS,C0221198
C0001617,TREATS,C0241910
C0001617,TREATS,C0277793
C0001617,TREATS,C0516977
C0001617,TREATS,C0339143
C0001617,TREATS,C0376175
C0001617,TREATS,C0376387
C0001617,TREATS,C0409959
C0597049,TREATS,C0581124
C0001617,TREATS,C0581126
C0001617,TREATS,C0582415
C0001617,TREATS,C0599755
C0001617,TREATS,C0694549
C0010124,TREATS,C0730285
C0001617,TREATS,C0746102
C0001617,TREATS,C0870668
C0001617,TREATS,C0877248
C0732611,TREATS,C0879626
C0001617,TREATS,C0034035
C0001617,TREATS,C4304383
C0001617,TREATS,C1457887
C0001617,TREATS,C4086268
C0001617,TREATS,C5203670
C0001625,PRODUCES,C0002006
C0001625,PRODUCES,C0002844
C0003483,PRODUCES,C0010124
C0001625,PRODUCES,C0011185
C0001625,PRODUCES,C0017710
C0001625,PRODUCES,C0543421
C0001632,TREATS,C0001624
C0059914,TREATS,C0010481
C0001632,TREATS,C0012984
C4764346,TREATS,C0020538
C2111393,TREATS,C0026809
C0001632,TREATS,C0027627
C0001632,TREATS,C0030705
C0001632,TREATS,C0031511
C0001632,TREATS,C0034693
C1511300,TREATS,C0206686
C0001632,TREATS,C0854178
C0001632,TREATS,C1384514
C1881787,TREATS,C0001883
C0001636,TREATS,C0002792
C0001636,TREATS,C0006266
C0663733,TREATS,C0017612
C0001636,TREATS,C0018790
C0001636,TREATS,C0018794
C0001636,TREATS,C0020649
C0036579,TREATS,C0036983
C0546865,TREATS,C0042510
C0001636,TREATS,C0042514
C0001636,TREATS,C0428977
C0001640,TREATS,C0034693
C0001641,TREATS,C0023492
C0055904,TREATS,C0020538
C0001641,TREATS,C0025266
C0440016,TREATS,C0030705
C0053881,TREATS,C0574785
C0001641,TREATS,C1457887
C0001644,TREATS,C0004096
C0076339,TREATS,C0030705
C0001644,TREATS,C0018561
C0001645,COEXISTS_WITH,C0013227
C0001645,DISRUPTS,C0005823
C0001645,INHIBITS,C0003011
C0014432,INHIBITS,C0003015
C0003204,INHIBITS,C0006685
C0242912,INHIBITS,C0034787
C0001645,INTERACTS_WITH,C0013227
C0001645,PREVENTS,C0004238
C0001645,PREVENTS,C0337672
C0001645,TREATS,C0001792
C0001645,TREATS,C0002962
C0645690,TREATS,C0003811
C0001645,TREATS,C0242966
C0001645,TREATS,C0004238
C0074769,TREATS,C0007193
C0001645,TREATS,C0406326
C0001645,TREATS,C0008059
C3536846,TREATS,C0010054
C0001645,TREATS,C3661933
C0001645,TREATS,C0011847
C0001645,TREATS,C0012984
C0001645,TREATS,C1140999
C0001645,TREATS,C0017601
C0001645,TREATS,C0018801
C0003376,TREATS,C0018802
C0001645,TREATS,C0020538
C0001645,TREATS,C0020541
C0083220,TREATS,C0023976
C0001645,TREATS,C0686510
C0001645,TREATS,C0025266
C0001645,TREATS,C0027051
C0001645,TREATS,C0027361
C0001645,TREATS,C5239544
C0001645,TREATS,C0034693
C0001645,TREATS,C0037179
C2713595,TREATS,C0085580
C0001645,TREATS,C0151744
C4059111,TREATS,C0155626
C0001645,TREATS,C0206733
C0001645,TREATS,C0241863
C0001645,TREATS,C2936258
C0001645,TREATS,C0489482
C0001645,TREATS,C0599755
C0001645,TREATS,C0857121
C0070585,TREATS,C0948089
C0001645,TREATS,C0680681
C0001645,TREATS,C0231230
C0603200,TREATS,C0004096
C0001648,TREATS,C0206193
C0001655,AUGMENTS,C0010481
C0001655,STIMULATES,C0002006
C0001655,STIMULATES,C0007634
C0001655,STIMULATES,C0010124
C0001655,STIMULATES,C0020268
C0001655,STIMULATES,C0038317
C0001655,STIMULATES,C0597513
C0001655,TREATS,C0008059
C0021764,TREATS,C0009326
C0085828,TREATS,C0012984
C0001655,TREATS,C0014742
C1101536,TREATS,C0019944
C0001655,TREATS,C0026769
C0001655,TREATS,C0206535
C0001655,TREATS,C0024895
C0001655,TREATS,C0029134
C0001655,TREATS,C0030705
C0001655,TREATS,C0034693
C0001655,TREATS,C0392445
