PMID,Title,Authors,Source,PubDate,DOI,Volume,Issue,Pages,URL,Abstract
37315065,"Development and anticancer properties of Up284, a spirocyclic candidate ADRM1/RPN13 inhibitor.","Anchoori RK, Anchoori V, Lam B, Tseng SH, Das S, Velasquez FC, Karanam B, Poddatoori D, Patnam R, Rudek MA, Chang YN, Roden RBS",PLoS One. 2023 Jun 14;18(6):e0285221. doi: 10.1371/journal.pone.0285221. eCollection 2023.,2023,10.1371/journal.pone.0285221 e0285221,18,6,e0285221,https://pubmed.ncbi.nlm.nih.gov/37315065,"Bortezomib has been successful for treatment of multiple myeloma, but not against solid tumors, and toxicities of neuropathy, thrombocytopenia and the emergence of resistance have triggered efforts to find alternative proteasome inhibitors. Bis-benzylidine piperidones such as RA190 covalently bind ADRM1/RPN13, a ubiquitin receptor that supports recognition of polyubiquitinated substrates of the proteasome and their subsequent deububiqutination and degradation. While these candidate RPN13 inhibitors (iRPN13) show promising anticancer activity in mouse models of cancer, they have suboptimal drug-like properties. Here we describe Up284, a novel candidate iRPN13 possessing a central spiro-carbon ring in place of RA190's problematic piperidone core. Cell lines derived from diverse cancer types (ovarian, triple negative breast, colon, cervical and prostate cancers, multiple myeloma and glioblastoma) were sensitive to Up284, including several lines resistant to bortezomib or cisplatin. Up284 and cisplatin showed synergistic cytotoxicity in vitro. Up284-induced cytotoxicity was associated with mitochondrial dysfunction, elevated levels of reactive oxygen species, accumulation of very high molecular weight polyubiquitinated protein aggregates, an unfolded protein response and the early onset of apoptosis. Up284 and RA190, but not bortezomib, enhanced antigen presentation in vitro. Up284 cleared from plasma in a few hours and accumulated in major organs by 24 h. A single dose of Up284, when administered to mice intra peritoneally or orally, inhibited proteasome function in both muscle and tumor for >48 h. Up284 was well tolerated by mice in repeat dose studies. Up284 demonstrated therapeutic activity in xenograft, syngeneic and genetically-engineered murine models of ovarian cancer."
37306225,"Bortezomib-loaded mixed micelles realize a ""three-in-one"" effect for enhanced breast cancer treatment.","Liu J, Xu X, Li Y, Xu J, Zhao R, Liu S, Wu J, Zhang L, Zhang B",Biomater Sci. 2023 Jul 12;11(14):4890-4906. doi: 10.1039/d3bm00254c.,2023 Jul 12,10.1039/d3bm00254c,11,14,4890-4906,https://pubmed.ncbi.nlm.nih.gov/37306225,"Comprehensively regulating the TME is now regarded as a promising approach for cancer treatment. Herein, a novel ""three-in-one"" effect is presented for simultaneously killing tumor cells, inhibiting the EMT of CAFs, and improving immune responses. In this study, bortezomib (BTZ) is selected for the treatment of breast cancer; it has multiple pharmacological mechanisms for killing tumor cells through the NF-kappaB signaling pathway, inhibiting the activity of CAFs by activating caspase-3, and enhancing the function of CD8+ T cells by regulating the expression of immune-stimulating factors. To improve the druggability of BTZ in solid tumors, BTZ-loaded lipid/glycocholic acid mixed micelles (BTZ-LGs) were prepared to verify the ""three-in-one"" effect in killing tumor cells, inhibiting CAFs, and improving immune responses. In the present work, BTZ-LGs were verified to show enhanced in vitro cytotoxicity in both 4T1 cells and 4T1/NIH3T3 co-cultured cells, as well as a superior in vivo treatment effect in different tumor-bearing mouse models. Additionally, BTZ-LGs could regulate the expression of alpha-SMA, caspase-3, E-cadherin, and N-cadherin, indicating their good inhibiting ability on both tumor cells and CAFs. More importantly, immunological analysis revealed that BTZ-LGs promoted the expression of the immunostimulatory factor IL-2 in tumor tissues, activated anti-tumor T cells, and overcame tumor-induced CD8+ T cell dysfunction. All these findings suggest that BTZ-LGs can achieve a ""three-in-one"" effect in terms of killing tumor cells, suppressing CAFs, and improving immune responses. This simple and multi-effective therapeutic strategy offers a promising approach for cancer therapy."
37264410,A bifunctional bortezomib-loaded porous nano-hydroxyapatite/alginate scaffold for simultaneous tumor inhibition and bone regeneration.,"Chen J, Wen J, Fu Y, Li X, Huang J, Guan X, Zhou Y",J Nanobiotechnology. 2023 Jun 1;21(1):174. doi: 10.1186/s12951-023-01940-0.,2023 Jun 1,10.1186/s12951-023-01940-0 174,21,1,174,https://pubmed.ncbi.nlm.nih.gov/37264410,"Treatments of osteolytic lesions due to malignant metastasis remain one of the major clinical challenges. The residual tumor cells after surgical resections and an acidic tumor microenvironment are unfavorable for osteogenic induction. Bortezomib (BTZ), a proteasome inhibitor used in chemotherapy, also has an osteogenic potential in concentration- and Ca(2+)-dependent manners. In this study, controlled delivery of BTZ in a novel bifunctional scaffold based on nano-hydroxyapatite (nHA) and sodium alginate (SA) nanocomposite, namely BTZ/nHA@SA, has been explored. By smartly adjusting microenvironments, a sustainable release of Ca(2+) from nHA could be achieved, which was not only able to cross-link SA but also to regulate the switch between the dual functions of tumor inhibition and bone regeneration of BTZ to promote the osteogenic pathway. The freeze-dried BTZ/nHA@SA scaffold has excellent interconnectivity, is capable to promote the attachment and proliferation of mouse embryonic osteoblast precursor cells, as well as effectively induces breast cancer cell death in vitro. Furthermore, in vivo, studies using a mouse tumor model and a rabbit femoral defect model showed that the BTZ/nHA@SA scaffold could promote tumor ablation, and also enhance bone repair. Therefore, the BTZ/nHA@SA scaffold has unique dual functions of inhibiting tumor recurrence and promoting bone tissue regeneration simultaneously. This smart bi-functional scaffold offers a promising novel approach for oncological treatments by synchronously orchestrating tumor inhibition and tissue regeneration for the repair of neoplastic bone defects."
36847599,KPT-330 and Y219 exert a synergistic antitumor effect in triple-negative breast cancer through inhibiting NF-kappaB signaling.,"Wen T, Geng M, Bai E, Wang X, Miao H, Chen Z, Zhou H, Wang J, Shi J, Zhang Y, Lei M, Zhu Y",FEBS Open Bio. 2023 Apr;13(4):751-762. doi: 10.1002/2211-5463.13588. Epub 2023 Mar 20.,2023 Apr,10.1002/2211-5463.13588,13,4,751-762,https://pubmed.ncbi.nlm.nih.gov/36847599,"Triple-negative breast cancer (TNBC) is an aggressive breast cancer subtype, which has poor prognosis due to the lack of effective targeted drugs. KPT-330, an inhibitor of the nuclear export protein CRM-1, has been widely used in clinical medicine. Y219, a novel proteasome inhibitor designed by our group, shows superior efficacy, reduced toxicity, and reduced off-target effects as compared to the proteasome inhibitor bortezomib. In this study, we investigated the synergistic effect of KPT-330 and Y219 against TNBC cells, as well as the underlying mechanisms. We report that combination treatment with KPT-330 and Y219 synergistically inhibited the viability of TNBC cells in vitro and in vivo. Further analysis revealed that the combined use of KPT-330 and Y219 induced G2-M phase arrest and apoptosis in TNBC cells, and attenuated nuclear factor kappa B (NF-kappaB) signaling by facilitating nuclear localization of IkappaB-alpha. Collectively, these results suggest that the combined use of KPT-330 and Y219 may be an effective therapeutic strategy for the treatment of TNBC."
36733936,Dual targeting with (224)Ra/(212)Pb-conjugates for targeted alpha therapy of disseminated cancers: A conceptual approach.,"Juzeniene A, Stenberg VY, Bruland OS, Revheim ME, Larsen RH",Front Med (Lausanne). 2023 Jan 17;9:1051825. doi: 10.3389/fmed.2022.1051825. eCollection 2022.,2022,10.3389/fmed.2022.1051825 1051825,9,,1051825,https://pubmed.ncbi.nlm.nih.gov/36733936,"Metastases are the primary cause of death among cancer patients and efficacious new treatments are sorely needed. Targeted alpha-emitting radiopharmaceuticals that are highly cytotoxic may fulfill this critical need. The focus of this paper is to describe and explore a novel technology that may improve the therapeutic effect of targeted alpha therapy by combining two radionuclides from the same decay chain in the same solution. We hypothesize that the dual targeting solution containing bone-seeking (224)Ra and cell-directed complexes of progeny (212)Pb is a promising approach to treat metastatic cancers with bone and soft tissue lesions as well as skeletal metastases of mixed lytic/osteoblastic nature. A novel liquid (224)Ra/(212)Pb-generator for rapid preparation of a dual targeting solution is described. Cancer cell targeting monoclonal antibodies, their fragments, synthetic proteins or peptides can all be radiolabeled with (212)Pb in the (224)Ra-solution in transient equilibrium with daughter nuclides. Thus, (224)Ra targets stromal elements in sclerotic bone metastases and (212)Pb-chelated-conjugate targets tumor cells of metastatic prostate cancer or osteosarcoma. The dual targeting solution may also be explored to treat metastatic breast cancer or multiple myeloma after manipulation of bone metastases to a more osteoblastic phenotype by the use of bisphosphonates, denosumab, bortezomib or hormone therapy prior to treatment. This may improve targeting of bone-seeking (224)Ra and render an augmented radiation dose deposited within metastases. Our preliminary preclinical studies provide conceptual evidence that the dual (224)Ra-solution with bone or tumor-targeted delivery of (212)Pb has potential to inhibit cancer metastases without significant toxicity. In some settings, the use of a booster dose of purified (212)Pb-conjugate alone could be required to elevate the effect of this tumor cell directed component, if needed, e.g., in a fractionated treatment regimen, where the dual targeting solution will act as maintenance treatment."
36658130,Dual inhibition of thioredoxin reductase and proteasome is required for auranofin-induced paraptosis in breast cancer cells.,"Seo MJ, Kim IY, Lee DM, Park YJ, Cho MY, Jin HJ, Choi KS",Cell Death Dis. 2023 Jan 19;14(1):42. doi: 10.1038/s41419-023-05586-6.,2023 Jan 19,10.1038/s41419-023-05586-6 42,14,1,42,https://pubmed.ncbi.nlm.nih.gov/36658130,"Auranofin (AF), a gold (I)-containing phosphine compound, is being investigated for oncological application as a repurposed drug. We show here that 4~5 microM AF induces paraptosis, a non-apoptotic cell death mode characterized by dilation of the endoplasmic reticulum (ER) and mitochondria, in breast cancer cells. Although the covalent inhibition of thioredoxin reductase (TrxR), an enzyme that critically controls intracellular redox homeostasis, is considered the primary mechanism of AF's anticancer activity, knockdown of TrxR1 did not induce paraptosis. Instead, both TrxR1 knockdown plus the proteasome inhibitor (PI), bortezomib (Bz), and 2 muM AF plus Bz induced paraptosis, thereby mimicking the effect of 5 muM AF. These results suggest that the paraptosis induced by 5 muM AF requires the inhibition of both TrxR1 and proteasome. We found that TrxR1 knockdown/Bz or subtoxic doses of AF and Bz induced paraptosis selectively in breast cancer cells, sparing non-transformed MCF10A cells, whereas 4~5 muM AF killed both cancer and MCF10A cells. GSH depletion was found to be more critical than ROS generation for the paraptosis induced by dual TrxR1/proteasome inhibition. In this process, the ATF4/CHAC1 (glutathione-specific gamma-glutamylcyclotransferase 1) axis leads to GSH degradation, contributing to proteotoxic stress possibly due to the accumulation of misfolded thiol-containing proteins. These results suggest that the paraptosis-inducing strategy of AF plus a PI may provide an effective therapeutic strategy against pro-apoptotic therapy-resistant cancers and reduce the potential side effects associated with high-dose AF."
36449634,High-Throughput Cellular Heterogeneity Analysis in Cell Migration at the Single-Cell Level.,"Zhou M, Ma Y, Chiang CC, Rock EC, Luker KE, Luker GD, Chen YC",Small. 2023 Feb;19(6):e2206754. doi: 10.1002/smll.202206754. Epub 2022 Nov 30.,2023 Feb,10.1002/smll.202206754,19,6,e2206754,https://pubmed.ncbi.nlm.nih.gov/36449634,"Cancer cell migration represents an essential step toward metastasis and cancer deaths. However, conventional drug discovery focuses on cytotoxic and growth-inhibiting compounds rather than inhibitors of migration. Drug screening assays generally measure the average response of many cells, masking distinct cell populations that drive metastasis and resist treatments. Here, this work presents a high-throughput microfluidic cell migration platform that coordinates robotic liquid handling and computer vision for rapidly quantifying individual cellular motility. Using this innovative technology, 172 compounds were tested and a surprisingly low correlation between migration and growth inhibition was found. Notably, many compounds were found to inhibit migration of most cells while leaving fast-moving subpopulations unaffected. This work further pinpoints synergistic drug combinations, including Bortezomib and Danirixin, to stop fast-moving cells. To explain the observed cell behaviors, single-cell morphological and molecular analysis were performed. These studies establish a novel technology to identify promising migration inhibitors for cancer treatment and relevant applications."
36306447,N-2-Hydroxypropylmethacrylamide-Polycaprolactone Polymeric Micelles in Co-delivery of Proteasome Inhibitor and Polyphenol: Exploration of Synergism or Antagonism.,"Rani S, Sahoo RK, Kumar V, Chaurasiya A, Kulkarni O, Mahale A, Katke S, Kuche K, Yadav V, Jain S, Nakhate KT, Ajazuddin, Gupta U",Mol Pharm. 2023 Jan 2;20(1):524-544. doi: 10.1021/acs.molpharmaceut.2c00752. Epub 2022 Oct 28.,2023 Jan 2,10.1021/acs.molpharmaceut.2c00752,20,1,524-544,https://pubmed.ncbi.nlm.nih.gov/36306447,"Breast cancer leads to the highest mortality among women resulting in a major clinical burden. Multidrug therapy is more efficient in such patients compared to monodrug therapy. Simultaneous combinatorial or co-delivery garnered significant interest in the past years. Caffeic acid (CFA) (a natural polyphenol) has received growing attention because of its anticarcinogenic and antioxidant potential. Bortezomib (BTZ) is a proteasome inhibitor and may be explored for treating breast cancer. Despite its high anticancer activity, the low water solubility and chemical instability restrict its efficacy against solid tumors. In the present study, we designed and investigated a HP-PCL (N-2-hydroxypropylmethacrylamide-polycaprolactone) polymeric micellar (PMCs) system for the simultaneous delivery of BTZ and CFA in the treatment of breast cancer. The designed BTZ+CFA-HP-PCL PMCs were fabricated, optimized, and characterized for size, zeta potential, surface morphology, and in vitro drug release. Developed nanosized (174.6 +/- 0.24 nm) PMCs showed enhanced cellular internalization and cell cytotoxicity in both MCF-7 and MDA-MB-231 cells. ROS (reactive oxygen species) levels were highest in BTZ-HP-PCL PMCs, while CFA-HP-PCL PMCs significantly (p < 0.001) scavenged the ROS generated in 2',7'-dichlorofluorescein diacetate (DCFH-DA) assay. The mitochondrial membrane potential (MMP) assay revealed intense and significant green fluorescence in both types of cancer cells when treated with BTZ-HP-PCL PMCs (p < 0.001) indicating apoptosis or cell death. The pharmacokinetic studies revealed that BTZ-HP-PCL PMCs and BTZ+CFA-HP-PCL PMCs exhibited the highest bioavailability, enhanced plasma half-life, decreased volume of distribution, and lower clearance rate than the pure combination of drugs. In the organ biodistribution studies, the combination of BTZ+CFA showed higher distribution in the spleen and the heart. Overall findings of in vitro studies surprisingly resulted in better therapeutic efficiency of BTZ-HP-PCL PMCs than BTZ+CFA-HP-PCL PMCs. However, the in vivo tumor growth inhibition study performed in tumor-induced mice concluded that the tumor growth was inhibited by both BTZ-HP-PCL PMCs and BTZ+CFA-HP-PCL PMCs (p < 0.0001) more efficiently than pure BTZ and the combination (BTZ+CFA), which may be due to the conversion of boronate ester into boronic acid. Henceforth, the combination of BTZ and CFA provides further indications to be explored in the future to support the hypothesis that BTZ may work with polyphenol (CFA) in the acidic environment of the tumor."
36216756,NIR-II Excitation Phototheranostic Platform for Synergistic Photothermal Therapy/Chemotherapy/Chemodynamic Therapy of Breast Cancer Bone Metastases.,"Sun P, Qu F, Zhang C, Cheng P, Li X, Shen Q, Li D, Fan Q",Adv Sci (Weinh). 2022 Nov;9(33):e2204718. doi: 10.1002/advs.202204718. Epub 2022 Oct 10.,2022 Nov,10.1002/advs.202204718 2204718,9,33,e2204718,https://pubmed.ncbi.nlm.nih.gov/36216756,"To improve bone metastases treatment efficacy, current strategies are focused on the integration of chemotherapy with phototheranostic. However, the success of phototheranostic approaches is hampered by the limited tissue penetration depth of near-infrared-I (NIR-I) light (700-900 nm). In this study, a NIR-II (1000-1700 nm) excitation phototheranostic (BTZ/Fe(2+) @BTF/ALD) is presented for NIR-II fluorescence imaging and NIR-II photoacoustic imaging-guided NIR-II photothermal therapy (PTT), chemotherapy, and chemodynamic therapy (CDT) of breast cancer bone metastases. This phototheranostic is developed by integrating a dopamine-modified NIR-II absorbing donor-acceptor-donor small molecule (BBT-FT-DA), the boronate anticancer drug bortezomib (BTZ), and Fe(2+) ions, as CDT catalysts, into an amphiphilic PEGylated phospholipid modified with the bone-targeting ligand alendronate. In acidic and hydrogen peroxide (H(2) O(2) ) over expression tumor microenvironment, the boronate-catechol linkage is cleaved and BTZ and Fe(2+) ions are released to initiate the Fenton reaction, that is, chemotherapy and CDT, respectively, are initialized. It is confirmed using the murine 4T1 bone metastasis model that BTZ/Fe(2+) @BTF/ALD significantly suppresses the progression of tumor cells in the bone tissue via a synergistic NIR-II PTT/chemotherapy/CDT effect. Overall, this work provides fresh insights to guide the development of NIR-II phototheranostics for breast cancer bone metastases."
36113180,Opposing effects of metformin mediated mTORC1 inhibition on IRES possessing anti-apoptotic proteins in breast cancer cell lines.,"Jahani Z, Davoodi J",Biochem Biophys Res Commun. 2022 Nov 12;629:71-77. doi: 10.1016/j.bbrc.2022.08.052. Epub 2022 Aug 24.,2022 Nov 12,S0006-291X(22)01182-2 [pii] 10.1016/j.bbrc.2022.08.052,629,,71-77,https://pubmed.ncbi.nlm.nih.gov/36113180,"Anti-diabetic drug, metformin, has attracted attentions as an anti-cancer agent due to the suppression of mTORC1 as a master switch of cell growth in various cancers. Upon mTORC1 inhibition, translation of proteins possessing IRES elements in their mRNAs still occurs in order to maintain proper cell function. Thus, inhibitor of apoptosis proteins are expected to be upregulated by mTORC1 inhibition due to the possession of IRES elements. Surprisingly, however, inhibition of mTORC1 with metformin in breast cancer cell lines of MDA-MB-231 and MCF-7, caused the downregulation of IRES-element possessing proteins of cIAP1, XIAP and Bcl-2, 24 h post-treatment. Interestingly, a shorter treatment time of 8 h, however, was accompanied by increased expression of these proteins. Importantly, inclusion of the proteasome inhibitor, Bortezomib, caused the upregulation of the tested anti-apoptotic proteins in both cell lines. These observations suggest that mTORC1 inhibition has a bifold effect; first upregulation of IRES-dependent survival proteins to prevent untimely cell death followed by an opposite effect, which is the enhanced proteosomal degradation of these protein in order to maintain a balanced response."
35933456,ErbB2/Her2-dependent downregulation of a cell death-promoting protein BLNK in breast cancer cells is required for 3D breast tumor growth.,"Liu X, Chipurupalli S, Jiang P, Tavasoli M, Yoo BH, McPhee M, Mazinani S, Francia G, Kerbel RS, Rosen KV",Cell Death Dis. 2022 Aug 6;13(8):687. doi: 10.1038/s41419-022-05117-9.,2022 Aug 6,10.1038/s41419-022-05117-9 687,13,8,687,https://pubmed.ncbi.nlm.nih.gov/35933456,"A significant proportion of breast cancers are driven by ErbB2/Her2 oncoprotein that they overexpress. These malignancies are typically treated with various ErbB2-targeted drugs, but many such cancers develop resistance to these agents and become incurable. Conceivably, treatment of ErbB2-positive cancers could be facilitated by use of agents blocking oncogenic signaling mechanisms downstream of ErbB2. However, current understanding of these mechanisms is limited. The ability of solid tumor cells to resist anoikis, cell death triggered by cell detachment from the extracellular matrix (ECM), is thought to be critical for 3D tumor growth. In an effort to understand the mechanisms of ErbB2-driven breast cancer cell anoikis resistance we found that detachment of non-malignant breast epithelial cells from the ECM upregulates a cell death-promoting tumor suppressor adapter protein BLNK and that ErbB2 blocks this upregulation by reducing tumor cell levels of transcription factor IRF6. We further observed that trastuzumab, a therapeutic anti-ErbB2 antibody, upregulates BLNK in human trastuzumab-sensitive but not trastuzumab-resistant ErbB2-positive breast cancer cells. Moreover, we established that BLNK promotes anoikis by activating p38 MAP kinase and that ErbB2-dependent BLNK downregulation blocks breast cancer cell anoikis. In search for pharmacological approaches allowing to upregulate BLNK in tumor cells we found that clinically approved proteasome inhibitor bortezomib upregulates IRF6 and BLNK in human breast cancer cells and inhibits their 3D growth in a BLNK-dependent manner. In addition, we found that BLNK upregulation in human ErbB2-positive breast cancer cells blocks their ability to form tumors in mice. Furthermore, we used publicly available data on mRNA levels in multiple breast cancers to demonstrate that increased BLNK mRNA levels correlate with increased relapse-free survival in a cohort of approximately 400 patients with ErbB2-positive breast cancer. In summary, we discovered a novel mechanism of ErbB2-driven 3D breast tumor growth mediated by ErbB2-dependent BLNK downregulation."
35920189,Targeting PIM2 by JP11646 results in significant antitumor effects in solid tumors.,"Katsuta E, Gil-Moore M, Moore J, Yousif M, Adjei AA, Ding Y, Caserta J, Baldino CM, Lee KP, Gelman IH, Takabe K, Opyrchal M",Int J Oncol. 2022 Oct;61(4):114. doi: 10.3892/ijo.2022.5404. Epub 2022 Aug 3.,2022 Oct,114 [pii] 10.3892/ijo.2022.5404,61,4,,https://pubmed.ncbi.nlm.nih.gov/35920189,"Proviral integration of Moloney virus 2 (PIM2) is a pro‑survival factor of cancer cells and a possible therapeutic target in hematological malignancies. However, the attempts at inhibiting PIM2 have yielded underwhelming results in early clinical trials on hematological malignancies. Recently, a novel pan‑PIM inhibitor, JP11646, was developed. The present study examined the utility of targeting PIM2 in multiple solid cancers and investigated the antitumor efficacy and the mechanisms of action of JP11646. When PIM2 expression was compared between normal and cancer tissues in publicly available datasets, PIM2 was found to be overexpressed in several types of solid cancers. PIM2 ectopic overexpression promoted tumor growth in in vivo xenograft breast cancer mouse models. The pan‑PIM inhibitor, JP11646, suppressed in vitro cancer cell proliferation in a concentration‑dependent manner in multiple types of cancers; a similar result was observed with siRNA‑mediated PIM2 knockdown, as well as an increased in cell apoptosis. By contrast, another pan‑PIM inhibitor, AZD1208, suppressed the expression of downstream PIM2 targets, but not PIM2 protein expression, corresponding to no apoptosis induction. As a mechanism of PIM2 protein degradation, it was found that the proteasome inhibitor, bortezomib, reversed the apoptosis induced by JP11646, suggesting that PIM2 degradation by JP11646 is proteasome‑dependent. JP11646 exhibited significant anticancer efficacy with minimal toxicities at the examined doses and schedules in multiple in vivo mice xenograft solid cancer models. On the whole, the present study demonstrates that PIM2 promotes cancer progression in solid tumors. JP11646 induces apoptosis at least partly by PIM2 protein degradation and suppresses cancer cell proliferation in vitro and in vivo. JP11646 may thus be a possible treatment strategy for multiple types of solid cancers."
35352669,Combination of Second-Generation Proteasome Inhibitor Carfilzomib with Bortezomib in Four Different Breast Cancer Cell Lines.,"Altundag EM, Yilmaz AM, Sahin A, Yilmaz BK",Anticancer Agents Med Chem. 2022 Aug 4;22(16):2909-2918. doi: 10.2174/1871520622666220329175501.,2022 Aug 4,10.2174/1871520622666220329175501,22,16,2909-2918,https://pubmed.ncbi.nlm.nih.gov/35352669,"BACKGROUND: Proteasome inhibitors target different pathways in cells and therefore are promising drugs in cancer therapy. The use of these inhibitors is approved mainly in hematological cancers, and recently many clinical trials and preclinical studies have been conducted on efficacy in solid tumors. Carfilzomib is a second-generation inhibitor and was developed to decrease the side effects of bortezomib. Although there are many valid therapies for breast cancer, resistance and recurrence are inevitable in many cases and the proteasomal system plays an important role in related pathways. OBJECTIVE: This study is a preliminary work to evaluate the combined effects of bortezomib and carfilzomib in four different breast cancer cells. METHODS: MDA-MB-231, MCF-7, UACC-2087, and SKBR-3 cell lines were used. Cell viability was determined using bortezomib and carfilzomib alone and in combination. Combination effect values were determined using the Chou- Talalay method. Apoptosis, proteasome activity, cleaved PARP, and HSP70 expressions were analyzed in the determined doses. RESULTS: The response to the combination of the two inhibitors was different in four cell lines. Apoptosis was significantly higher in combination groups compared to carfilzomib in three cell lines except for SKBR-3, and higher in the combination group compared to bortezomib only in UACC-2087. Combination decreased cleaved PARP levels in MDA-MB-231 and MCF-7 and increased SKBR-3 compared to bortezomib. HSP70 levels decreased in combination with UACC-2087 and SKBR-3 compared to carfilzomib. CONCLUSION: Taken together, the combination of the two inhibitors was more apoptotic compared to carfilzomib and apoptosis was higher only in UACC-2087 compared to bortezomib. This apoptosis data can not be directly correlated to the degree of proteasome inhibition, PARP cleavage, and HSP70 response."
35269789,PSMD14 Targeting Triggers Paraptosis in Breast Cancer Cells by Inducing Proteasome Inhibition and Ca(2+) Imbalance.,"Lee HJ, Lee DM, Seo MJ, Kang HC, Kwon SK, Choi KS",Int J Mol Sci. 2022 Feb 28;23(5):2648. doi: 10.3390/ijms23052648.,2022 Feb 28,10.3390/ijms23052648 2648,23,5,,https://pubmed.ncbi.nlm.nih.gov/35269789,"PSMD14, a subunit of the 19S regulatory particles of the 26S proteasome, was recently identified as a potential prognostic marker and therapeutic target in diverse human cancers. Here, we show that the silencing and pharmacological blockade of PSMD14 in MDA-MB 435S breast cancer cells induce paraptosis, a non-apoptotic cell death mode characterized by extensive vacuolation derived from the endoplasmic reticulum (ER) and mitochondria. The PSMD14 inhibitor, capzimin (CZM), inhibits proteasome activity but differs from the 20S proteasome subunit-inhibiting bortezomib (Bz) in that it does not induce aggresome formation or Nrf1 upregulation, which underlie Bz resistance in cancer cells. In addition to proteasome inhibition, the release of Ca(2+) from the ER into the cytosol critically contributes to CZM-induced paraptosis. Induction of paraptosis by targeting PSMD14 may provide an attractive therapeutic strategy against cancer cells resistant to proteasome inhibitors or pro-apoptotic drugs."
35116485,Massive limb lymphedema as the initial presentation of multiple myeloma: a case report.,"Yang C, You L, Meng H",Transl Cancer Res. 2021 Mar;10(3):1599-1602. doi: 10.21037/tcr-20-3143.,2021 Mar,10.21037/tcr-20-3143,10,3,1599-1602,https://pubmed.ncbi.nlm.nih.gov/35116485,"Multiple myeloma is a malignant neoplasm of plasma cells that primarily causes bone destruction and marrow failure. We report a female patient who presented with limb lymphedema as the first manifestation of multiple myeloma. According to guideline of the International Myeloma Working Group, this patient was diagnosed as symptomatic IgG lambda MM (Durie-Salmon stage II and International System Stage II) based on the detected values of an M-protein in the serum, clonal bone marrow plasma cells > 10% and anemia. Lymphedema was divided into primary and secondary. The most common secondary factor is malignant tumor, especially breast cancer. We excluded other causes and found no other contributing factors to the patient's massive limb lymphedema apart from multiple myeloma. After one cycle of bortezomib-based chemotherapy, the patient's lymphedema began to resolve and almost completely disappeared after 4 months. As far as we know, this is the first reported case of multiple myeloma patient who developed massive lymphedema. NF-kappaB signaling pathway is the main pathogenesis of multiple myeloma, and closely related with the development of lymphedema. More importantly, the symptom of lymphedema relieved after the treatment of NF-kappaB inhibitor Bortezomib in this patient. Based on the findings of the present study, as well as those of the literature, we proposed NF-kappaB may play an important role in the development of the patient's lymphedema. Further studies are warranted to explain the underlying mechanisms. But this case indicated multiple myeloma may present atypically. We should further examine and clarify the secondary factors of lymphedema, in order to early diagnosis and treatment."
35114585,ISRIB plus bortezomib triggers paraptosis in breast cancer cells via enhanced translation and subsequent proteotoxic stress.,"Lee DM, Seo MJ, Lee HJ, Jin HJ, Choi KS",Biochem Biophys Res Commun. 2022 Mar 12;596:56-62. doi: 10.1016/j.bbrc.2022.01.082. Epub 2022 Jan 25.,2022 Mar 12,S0006-291X(22)00108-5 [pii] 10.1016/j.bbrc.2022.01.082,596,,56-62,https://pubmed.ncbi.nlm.nih.gov/35114585,"Despite the success of proteasome inhibitors (PIs) in treating hematopoietic malignancies, including multiple myeloma (MM), their clinical efficacy is limited in solid tumors. In this study, we investigated the involvement of the integrated stress response (ISR), a central cellular adaptive program that responds to proteostatic defects by tuning protein synthesis rates, in determining the fates of cells treated with PI, bortezomib (Bz). We found that Bz induces ISR, and this can be reversed by ISRIB, a small molecule that restores eIF2B-mediated translation during ISR, in both Bz-sensitive MM cells and Bz-insensitive breast cancer cells. Interestingly, while ISRIB protected MM cells from Bz-induced apoptosis, it enhanced Bz sensitivity in breast cancer cells by inducing paraptosis, the cell death mode that is accompanied by dilation of the endoplasmic reticulum (ER) and mitochondria. Combined treatment with ISRIB and Bz may shift the fate of Bz-insensitive cancer cells toward paraptosis by inducing translational rescue, leading to irresolvable proteotoxic stress."
35088066,Syrbactin-class dual constitutive- and immuno-proteasome inhibitor TIR-199 impedes myeloma-mediated bone degeneration in vivo.,"Tandon V, Vala RM, Chen A, Sah RL, Patel HM, Pirrung MC, Banerjee S",Biosci Rep. 2022 Feb 25;42(2):BSR20212721. doi: 10.1042/BSR20212721.,2022 Feb 25,10.1042/BSR20212721 BSR20212721,42,2,,https://pubmed.ncbi.nlm.nih.gov/35088066,"Proteasome-addicted neoplastic malignancies present a considerable refractory and relapsed phenotype with patients exhibiting drug resistance and high mortality rates. To counter this global problem, novel proteasome-based therapies are being developed. In the current study, we extensively characterize TIR-199, a syrbactin-class proteasome inhibitor derived from a plant virulence factor of bacterium Pseudomonas syringae pv syringae. We report that TIR-199 is a potent constitutive and immunoproteasome inhibitor, capable of inducing cell death in multiple myeloma, triple-negative breast cancer, (TNBC) and non-small cell lung cancer lines. TIR-199 also effectively inhibits the proteasome in primary myeloma cells of patients, and bypasses the PSMB5 A49T+A50V bortezomib-resistant mutant. TIR-199 treatment leads to accumulation of canonical proteasome substrates in cells, it is specific, and does not inhibit 50 other enzymes tested in vitro. The drug exhibits synergistic cytotoxicity in combination with proteasome-activating kinase DYRK2 inhibitor LDN192960. Furthermore, low-doses of TIR-199 exhibits in vivo activity by delaying myeloma-mediated bone degeneration in a mouse xenograft model. Together, our data indicates that proteasome inhibitor TIR-199 could indeed be a promising next-generation drug within the repertoire of proteasome-based therapeutics."
